"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"maleAgeClass 1","0","0","0","0","NHW"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.0241512972412714","-1.12689709443356","-1.22682629701626","-2.35372339144982",""
"maleAgeClass 5","-0.233842192389034","-7.81122293614408","-2.87994465257452","-10.6911675887186",""
"maleAgeClass 6","-0.364140109770773","-8.43180783741627","-2.12117013326588","-10.5529779706822",""
"maleAgeClass 7","-0.604678515036255","-8.82162941201841","-2.02148192737593","-10.8431113393943",""
"maleAgeClass 8","-2.38865333540014","-15.2042264213355","-4.16600447442318","-19.3702308957587",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","-0.00309178679104338","-0.190014934148891","-2.20547011147369","-2.39548504562258",""
"femaleAgeClass 4","-0.0252670061288036","-1.1808834101015","-2.31285538851103","-3.49373879861253",""
"femaleAgeClass 5","-0.185584002949838","-6.20358948048897","-4.69915892581025","-10.9027484062992",""
"femaleAgeClass 6","-0.272495565928651","-6.28084187348622","-2.89789409593482","-9.17873596942104",""
"femaleAgeClass 7","-0.639637954389883","-9.21523002054164","-3.3155550184307","-12.5307850389723",""
"femaleAgeClass 8","0.357383224817795","1.95689047394626","0.677004220346589","2.63389469429285",""
"total","-4.38415854120789","-62.5094529461688","-27.1693568044697","-89.6788097506385",""
"proportion","-0.00193618071892002","-0.00232796806176694","-0.00230384938910656","-0.00232060944355269",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","NHB"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.0241512972412714","-1.12689709443356","-1.22682629701626","-2.35372339144982",""
"maleAgeClass 5","-0.233842192389034","-7.81122293614408","-2.87994465257452","-10.6911675887186",""
"maleAgeClass 6","-0.364140109770773","-8.43180783741627","-2.12117013326588","-10.5529779706822",""
"maleAgeClass 7","-0.604678515036255","-8.82162941201841","-2.02148192737593","-10.8431113393943",""
"maleAgeClass 8","-2.38865333540014","-15.2042264213355","-4.16600447442318","-19.3702308957587",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","-0.00309178679104338","-0.190014934148891","-2.20547011147369","-2.39548504562258",""
"femaleAgeClass 4","-0.0252670061288036","-1.1808834101015","-2.31285538851103","-3.49373879861253",""
"femaleAgeClass 5","-0.185584002949838","-6.20358948048897","-4.69915892581025","-10.9027484062992",""
"femaleAgeClass 6","-0.272495565928651","-6.28084187348622","-2.89789409593482","-9.17873596942104",""
"femaleAgeClass 7","-0.639637954389883","-9.21523002054164","-3.3155550184307","-12.5307850389723",""
"femaleAgeClass 8","0.357383224817795","1.95689047394626","0.677004220346589","2.63389469429285",""
